number	type	position	latency	urevent
56.000000	square	1.000000	10998.008750	56.000000
57.000000	rt		11049.084241	57.000000
58.000000	square	2.000000	11383.008750	58.000000
59.000000	rt		11428.963891	59.000000
60.000000	square	2.000000	11768.008750	60.000000
61.000000	rt		11818.444198	61.000000
62.000000	square	2.000000	12153.008750	62.000000
63.000000	rt		12198.963891	63.000000
64.000000	square	2.000000	12538.008750	64.000000
65.000000	rt		12592.540478	65.000000
66.000000	square	2.000000	12923.008750	66.000000
67.000000	rt		12975.492337	67.000000
68.000000	square	1.000000	13308.008750	68.000000
69.000000	rt		13355.499996	69.000000
70.000000	square	1.000000	13693.008750	70.000000
71.000000	rt		13741.012031	71.000000
72.000000	square	1.000000	14078.008750	72.000000
73.000000	rt		14135.484679	73.000000
74.000000	square	1.000000	14463.008750	74.000000
75.000000	rt		14517.540477	75.000000
76.000000	square	1.000000	14848.008750	76.000000
77.000000	rt		14896.012031	77.000000
78.000000	square	1.000000	15233.008750	78.000000
79.000000	rt		15278.963891	79.000000
80.000000	square	1.000000	15618.008750	80.000000
81.000000	rt		15669.468268	81.000000
82.000000	square	1.000000	16003.008750	82.000000
83.000000	rt		16057.540477	83.000000
84.000000	square	1.000000	16388.008750	84.000000
85.000000	rt		16439.084241	85.000000
86.000000	square	1.000000	16773.008750	86.000000
87.000000	rt		16824.468268	87.000000
88.000000	square	2.000000	17158.008750	88.000000
89.000000	square	2.000000	17543.008750	89.000000
90.000000	rt		17599.588617	90.000000
91.000000	square	2.000000	17928.008750	91.000000
92.000000	rt		17978.060171	92.000000
93.000000	square	2.000000	18313.008750	93.000000
94.000000	rt		18369.972644	94.000000
95.000000	square	2.000000	18698.008750	95.000000
96.000000	rt		18756.508749	96.000000
97.000000	square	1.000000	19083.008750	97.000000
98.000000	rt		19137.540477	98.000000
99.000000	square	1.000000	19468.008750	99.000000
100.000000	rt		19516.524066	100.000000
101.000000	square	1.000000	19853.008750	101.000000
102.000000	rt		19902.420127	102.000000
103.000000	square	1.000000	20238.008750	103.000000
104.000000	rt		20282.939821	104.000000
105.000000	square	1.000000	20623.008750	105.000000
106.000000	rt		20674.980302	106.000000
107.000000	square	2.000000	21008.008750	107.000000
108.000000	rt		21053.067830	108.000000
109.000000	square	2.000000	21393.008750	109.000000
110.000000	rt		21446.516408	110.000000
111.000000	square	2.000000	21778.008750	111.000000
112.000000	rt		21826.012031	112.000000
113.000000	square	2.000000	22163.008750	113.000000
114.000000	rt		22226.501090	114.000000
115.000000	square	2.000000	22548.008750	115.000000
116.000000	rt		22605.484679	116.000000
117.000000	square	2.000000	22933.008750	117.000000
118.000000	rt		22993.044854	118.000000
119.000000	square	2.000000	23318.008750	119.000000
120.000000	rt		23372.540477	120.000000
121.000000	square	2.000000	23703.008750	121.000000
122.000000	rt		23767.909186	122.000000
123.000000	square	2.000000	24088.008750	123.000000
124.000000	rt		24139.980303	124.000000
125.000000	square	2.000000	24473.008750	125.000000
126.000000	rt		24535.477020	126.000000
127.000000	square	1.000000	24858.008750	127.000000
128.000000	rt		24903.579865	128.000000
129.000000	square	1.000000	25243.008750	129.000000
130.000000	rt		25307.525160	130.000000
131.000000	square	1.000000	25628.008750	131.000000
132.000000	rt		25678.956233	132.000000
133.000000	square	1.000000	26013.008750	133.000000
134.000000	rt		26070.484679	134.000000
135.000000	square	1.000000	26398.008750	135.000000
136.000000	rt		26452.924504	136.000000
137.000000	square	1.000000	26783.008750	137.000000
138.000000	square	1.000000	27168.008750	138.000000
139.000000	rt		27216.524066	139.000000
140.000000	square	1.000000	27553.008750	140.000000
141.000000	rt		27603.060171	141.000000
142.000000	square	1.000000	27938.008750	142.000000
143.000000	rt		27990.492337	143.000000
144.000000	square	1.000000	28323.008750	144.000000
145.000000	rt		28368.067830	145.000000
146.000000	square	2.000000	28708.008750	146.000000
147.000000	square	2.000000	29093.008750	147.000000
148.000000	rt		29148.948574	148.000000
149.000000	square	2.000000	29478.008750	149.000000
150.000000	rt		29532.028443	150.000000
151.000000	square	2.000000	29863.008750	151.000000
152.000000	rt		29918.436539	152.000000
153.000000	square	2.000000	30248.008750	153.000000
154.000000	rt		30305.484679	154.000000
